시간,규모,진앙(km),위도,경도,위치
2017-02-10 05:22:41,2.2,20,35.65,129.57,울산 북구 동북동쪽 20km 해역
2017-02-10 18:01:35,2.6,0,38.54,125.84,북한 황해북도 사리원 동북동쪽 8km 지역
2017-02-12 09:22:27,2.3,22,35.69,129.58,울산 북구 동북동쪽 23km 해역
2017-02-16 02:34:56,2.9,15,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2017-02-16 18:20:19,2.3,17,35.64,128.09,경남 합천군 북서쪽 11km 지역
2017-02-18 16:53:49,2.0,15,33.23,126.18,제주 서귀포시 서쪽 35km 해역
2017-02-18 20:58:19,2.4,17,35.23,126.94,광주 북구 북북동쪽 7km 지역
2017-02-21 03:21:11,2.1,14,35.76,129.20,경북 경주시 남쪽 9km 지역
2017-02-22 13:08:50,2.1,14,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2017-02-23 21:03:51,3.1,7,37.40,124.89,인천 백령도 남남동쪽 64km 해역
2017-02-24 11:34:44,2.3,14,36.38,127.79,충북 옥천군 동북동쪽 21km 지역
2017-02-24 12:29:38,2.5,8,38.89,126.09,북한 평양 동남동쪽 33km 지역
2017-02-25 06:58:44,2.2,19,35.74,129.17,경북 경주시 남남서쪽 12km 지역
2017-02-25 06:59:07,2.4,15,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2017-03-04 06:33:12,2.3,7,35.99,127.95,경북 김천시 남서쪽 22km 지역
2017-03-05 07:52:04,2.4,17,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2017-03-05 09:18:27,3.2,13,37.75,129.66,강원 동해시 동북동쪽 54km 해역
2017-03-05 09:28:49,2.4,8,37.74,129.69,강원 동해시 동북동쪽 56km 해역
2017-03-05 15:09:40,2.1,9,37.72,129.59,강원 동해시 동북동쪽 47km 해역
2017-03-05 19:19:07,2.1,7,37.77,129.70,강원 동해시 동북동쪽 58km 해역
2017-03-06 06:21:33,2.0,1,35.75,126.10,전북 부안군 위도 북서쪽 24km 해역
2017-03-07 03:48:07,2.2,20,36.30,128.23,경북 구미시 북북서쪽 23km 지역
2017-03-07 06:53:36,2.6,0,37.75,129.71,강원 동해시 동북동쪽 58km 해역
2017-03-09 02:24:31,2.0,22,35.82,129.78,경북 포항시 남구 동남동쪽 43km 해역
